,Month,Sales,Sales MA,pct_change
0,1-01,1359.795,,
1,1-02,1278.564,,-5.9737681047510875
2,1-03,1508.327,1382.2286666666666,17.970394911791665
3,1-04,1419.71,1402.2003333333334,-5.875184890279095
4,1-05,1440.51,1456.1823333333332,1.4650879404948913
5,1-06,1424.376,1428.1986666666664,-1.1200199929191745
6,1-07,1247.704,1370.8633333333335,-12.403466500418435
7,1-08,495.498,1055.859333333333,-60.287215557536086
8,1-09,1278.119,1007.107,157.94634892572725
9,1-10,1428.715,1067.444,11.782627439229065
10,1-11,1221.37,1309.4013333333332,-14.512691474506811
11,1-12,1314.325,1321.47,7.610715835496218
12,2-01,1528.94,1354.8783333333333,16.32891408137256
13,2-02,1486.73,1443.3316666666667,-2.7607361963190247
14,2-03,1606.325,1540.6650000000002,8.044164037854884
15,2-04,1545.355,1546.1366666666665,-3.795620437956204
16,2-05,1489.075,1546.9183333333333,-3.6418816388467334
17,2-06,1667.295,1567.2416666666668,11.96850393700788
18,2-07,1198.295,1451.555,-28.129395218002806
19,2-08,506.52,1124.0366666666669,-57.72994129158513
20,2-09,1350.72,1018.5116666666667,166.66666666666669
21,2-10,1402.31,1086.5166666666667,3.819444444444442
22,2-11,1475.005,1409.345,5.183946488294322
23,2-12,1458.59,1445.3016666666665,-1.1128775834658322
24,3-01,1416.38,1449.9916666666668,-2.8938906752411397
25,3-02,1531.285,1468.7516666666668,8.112582781456945
26,3-03,1761.095,1569.5866666666668,15.00765696784072
27,3-04,1632.12,1641.5,-7.323568575233031
28,3-05,1711.85,1701.6883333333335,4.885057471264376
29,3-06,1664.95,1669.64,-2.739726027397249
30,3-07,1435.14,1603.9800000000002,-13.802816901408443
31,3-08,572.18,1224.09,-60.13071895424837
32,3-09,1477.35,1161.5566666666666,158.1967213114754
33,3-10,1622.74,1224.09,9.84126984126985
34,3-11,1730.61,1610.2333333333333,6.647398843930619
35,3-12,1641.5,1664.9499999999998,-5.1490514905149
36,4-01,1554.735,1642.2816666666665,-5.285714285714294
37,4-02,1739.99,1645.408333333333,11.915535444947212
38,4-03,2002.63,1765.7849999999999,15.094339622641506
39,4-04,1648.535,1797.051666666667,-17.68149882903981
40,4-05,1657.915,1769.6933333333334,0.5689900426742556
41,4-06,1948.695,1751.715,17.538896746817546
42,4-07,1292.095,1632.9016666666666,-33.69434416365824
43,4-08,555.765,1265.5183333333332,-56.987295825771334
44,4-09,1486.73,1111.53,167.51054852320678
45,4-10,1535.975,1192.823333333333,3.312302839116721
46,4-11,1650.88,1557.8616666666667,7.480916030534357
47,4-12,1700.125,1628.993333333333,2.9829545454545414
48,5-01,1800.96,1717.3216666666667,5.931034482758624
49,5-02,1798.615,1766.5666666666666,-0.13020833333333703
50,5-03,1922.9,1840.825,6.910039113428956
51,5-04,1732.955,1818.1566666666665,-9.878048780487813
52,5-05,1723.575,1793.1433333333334,-0.5412719891745521
53,5-06,1847.86,1768.1299999999999,7.210884353741487
54,5-07,1479.695,1683.7099999999998,-19.9238578680203
55,5-08,581.56,1303.0383333333332,-60.69730586370841
56,5-09,1564.115,1208.4566666666667,168.95161290322585
57,5-10,1648.535,1264.7366666666667,5.397301349325345
58,5-11,1716.54,1643.0633333333333,4.125177809388325
59,5-12,1690.745,1685.2733333333333,-1.5027322404371657
60,6-01,1915.865,1774.3833333333332,13.314840499306534
61,6-02,1925.245,1843.9516666666666,0.4895960832313362
62,6-03,2007.32,1949.4766666666665,4.263093788063332
63,6-04,1892.415,1941.6599999999999,-5.724299065420557
64,6-05,1376.515,1758.75,-27.261462205700116
65,6-06,1749.37,1672.7666666666664,27.086882453151606
66,6-07,1728.265,1618.05,-1.206434316353877
67,6-08,668.325,1381.9866666666665,-61.329715061058344
68,6-09,1671.985,1356.1916666666666,150.1754385964912
69,6-10,2112.845,1484.3849999999995,26.367461430575023
70,6-11,1817.375,1867.4016666666666,-13.984461709211981
71,6-12,1838.48,1922.8999999999996,1.1612903225806548
72,7-01,2030.77,1895.5416666666667,10.459183673469386
73,7-02,1969.8,1946.3499999999997,-3.002309468822173
74,7-03,2124.57,2041.7133333333331,7.857142857142874
75,7-04,1908.83,2001.0666666666666,-10.154525386313473
76,7-05,1887.725,1973.7083333333333,-1.1056511056511065
77,7-06,2051.875,1949.4766666666667,8.695652173913038
78,7-07,1568.805,1836.135,-23.542857142857144
79,7-08,811.37,1477.3500000000001,-48.28101644245142
80,7-09,1627.43,1335.8683333333333,100.57803468208095
81,7-10,2061.255,1500.0183333333334,26.657060518732003
82,7-11,1636.81,1775.165,-20.591581342434594
83,7-12,2164.435,1954.1666666666667,32.234957020057294
84,8-01,1789.235,1863.493333333333,-17.334777898158183
85,8-02,1990.905,1981.5249999999999,11.271297509829626
86,8-03,2117.535,1965.8916666666664,6.360424028268552
87,8-04,2021.39,2043.2766666666666,-4.540420819490576
88,8-05,1667.295,1935.4066666666665,-17.517401392111363
89,8-06,2042.495,1910.3933333333334,22.50351617440225
90,8-07,1571.15,1760.3133333333333,-23.076923076923073
91,8-08,712.88,1442.175,-54.62686567164179
92,8-09,1641.5,1308.51,130.26315789473685
93,8-10,1648.535,1334.305,0.4285714285714226
94,8-11,1639.155,1643.0633333333335,-0.5689900426742556
95,8-12,1946.35,1744.68,18.74105865522173
96,9-01,1960.42,1848.6416666666667,0.7228915662650603
97,9-02,1990.905,1965.8916666666667,1.5550239234449759
98,9-03,2206.645,2052.6566666666663,10.83627797408717
99,9-04,1815.03,2004.1933333333334,-17.7470775770457
100,9-05,1876.0,1965.8916666666667,3.3591731266149782
101,9-06,2305.135,1998.7216666666666,22.875
102,9-07,1899.45,2026.8616666666667,-17.59918616480164
103,9-08,511.21,1571.9316666666666,-73.08641975308643
104,9-09,1906.485,1439.0483333333334,272.93577981651373
105,9-10,1798.615,1405.4366666666667,-5.658056580565796
106,9-11,1840.825,1848.6416666666667,2.346805736636237
107,9-12,1972.145,1870.5283333333334,7.133757961783438
108,10-01,2012.01,1941.66,2.021403091557672
109,10-02,2424.73,2136.295,20.512820512820507
110,10-03,2413.005,2283.248333333333,-0.4835589941972862
111,10-04,2080.015,2305.9166666666665,-13.799805636540341
112,10-05,2061.255,2184.758333333333,-0.9019165727170098
113,10-06,2483.355,2208.2083333333335,20.4778156996587
114,10-07,1807.995,2117.535,-27.19546742209632
115,10-08,832.475,1707.9416666666664,-53.95590142671855
116,10-09,1953.385,1531.2849999999999,134.64788732394365
117,10-10,2126.915,1637.5916666666665,8.88355342136855
118,10-11,2148.02,2076.1066666666666,0.9922822491730932
119,10-12,2176.16,2150.365,1.3100436681222627
120,11-01,2279.34,2201.173333333333,4.74137931034484
121,11-02,2356.725,2270.741666666667,3.3950617283950546
122,11-03,2485.7,2373.9216666666666,5.472636815920384
123,11-04,2305.135,2382.52,-7.264150943396208
124,11-05,2502.115,2430.983333333333,8.545269582909443
125,11-06,2288.72,2365.3233333333333,-8.52858481724461
126,11-07,2072.98,2287.938333333333,-9.426229508196716
127,11-08,785.575,1715.7583333333332,-62.10407239819005
128,11-09,1995.595,1618.05,154.02985074626864
129,11-10,2940.63,1907.2666666666664,47.356051703877796
130,11-11,2912.49,2616.2383333333332,-0.9569377990430783
131,11-12,2680.335,2844.485,-7.971014492753614
132,12-01,2743.65,2778.8249999999994,2.3622047244094446
133,12-02,2417.695,2613.8933333333334,-11.880341880341883
134,12-03,2649.85,2603.7316666666666,9.602327837051394
135,12-04,2309.825,2459.1233333333334,-12.831858407079654
136,12-05,2640.47,2533.381666666666,14.314720812182745
137,12-06,2366.105,2438.7999999999997,-10.390763765541733
138,12-07,2084.705,2363.7599999999998,-11.892963330029737
139,12-08,877.03,1775.9466666666665,-57.93025871766029
140,12-09,2220.715,1727.483333333333,153.20855614973263
141,12-10,2253.545,1783.763333333333,1.4783526927138357
142,12-11,1620.395,2031.5516666666665,-28.09573361082206
143,12-12,1618.05,1830.6633333333332,-0.14471780028944004
144,13-01,1488.371,1575.6053333333332,-8.014523655016836
145,13-02,1541.462,1549.2943333333333,3.567054182055407
146,13-03,1642.743,1557.525333333333,6.570450650097115
